Premium Alcohol Master List (534 products);;;;;;;;;;;;;;;
Prepared March 8, 2026. Retailer columns are a mixed dataset: exact sampled listings were used where I could verify them, and the remaining rows are typical/estimated South African shelf prices based on brand tier, bottle size, and retailer positioning.;;;;;;;;;;;;;;;
Image Search URL opens a product image search rather than a direct hosted image file, because direct hotlinked retailer image URLs are unstable across stores.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Product Name;Category;Bottle Size;Country of Origin;Alcohol %;Cheapest Price (ZAR);Cheapest Retailer;Checkers Price (est.);Pick n Pay Price (est.);TOPS Price (est.);Woolworths Price (est.);Norman Goodfellows Price (est.);Image Search URL;Product Search URL;Notes;Suggested Image Search Term
Johnnie Walker Red Label;Whisky - Blended Scotch;750ml;Scotland;;R313,60;TOPS;R320,00;R326,40;R313,60;R336,00;R316,80;https://www.google.com/search?tbm=isch&q=Johnnie+Walker+Red+Label+bottle+pack+product+image;https://www.google.com/search?q=Johnnie+Walker+Red+Label+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Johnnie Walker Red Label bottle pack product image
Johnnie Walker Black Label 12 Year Old;Whisky - Blended Scotch;750ml;Scotland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Johnnie+Walker+Black+Label+12+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Johnnie+Walker+Black+Label+12+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Johnnie Walker Black Label 12 Year Old bottle pack product image
Johnnie Walker Double Black;Whisky - Blended Scotch;750ml;Scotland;;R637,00;TOPS;R650,00;R663,00;R637,00;R682,50;R643,50;https://www.google.com/search?tbm=isch&q=Johnnie+Walker+Double+Black+bottle+pack+product+image;https://www.google.com/search?q=Johnnie+Walker+Double+Black+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Johnnie Walker Double Black bottle pack product image
Johnnie Walker Green Label 15 Year Old;Whisky - Blended Scotch;750ml;Scotland;;R1 164,00;TOPS;R1 224,00;R1 212,00;R1 164,00;R1 260,00;R1 200,00;https://www.google.com/search?tbm=isch&q=Johnnie+Walker+Green+Label+15+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Johnnie+Walker+Green+Label+15+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Johnnie Walker Green Label 15 Year Old bottle pack product image
Johnnie Walker Gold Label Reserve;Whisky - Blended Scotch;750ml;Scotland;;R1 164,00;TOPS;R1 224,00;R1 212,00;R1 164,00;R1 260,00;R1 200,00;https://www.google.com/search?tbm=isch&q=Johnnie+Walker+Gold+Label+Reserve+bottle+pack+product+image;https://www.google.com/search?q=Johnnie+Walker+Gold+Label+Reserve+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Johnnie Walker Gold Label Reserve bottle pack product image
Johnnie Walker Aged 18 Years;Whisky - Blended Scotch;750ml;Scotland;;R2 134,00;TOPS;R2 244,00;R2 222,00;R2 134,00;R2 266,00;R2 200,00;https://www.google.com/search?tbm=isch&q=Johnnie+Walker+Aged+18+Years+bottle+pack+product+image;https://www.google.com/search?q=Johnnie+Walker+Aged+18+Years+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Johnnie Walker Aged 18 Years bottle pack product image
Johnnie Walker Blue Label;Whisky - Blended Scotch;750ml;Scotland;;R2 999,99;TOPS;R3 499,99;R3 499,99;R2 999,99;R3 499,99;R3 449,00;https://www.google.com/search?tbm=isch&q=Johnnie+Walker+Blue+Label+bottle+pack+product+image;https://www.google.com/search?q=Johnnie+Walker+Blue+Label+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Johnnie Walker Blue Label bottle pack product image
Johnnie Walker Blue Label Ice Chalet Limited Edition;Whisky - Blended Scotch;750ml;Scotland;;R4 074,00;TOPS;R4 284,00;R4 242,00;R4 074,00;R4 326,00;R4 200,00;https://www.google.com/search?tbm=isch&q=Johnnie+Walker+Blue+Label+Ice+Chalet+Limited+Edition+bottle+pack+product+image;https://www.google.com/search?q=Johnnie+Walker+Blue+Label+Ice+Chalet+Limited+Edition+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Johnnie Walker Blue Label Ice Chalet Limited Edition bottle pack product image
Johnnie Walker Blue Label Elusive Umami;Whisky - Blended Scotch;750ml;Scotland;;R4 074,00;TOPS;R4 284,00;R4 242,00;R4 074,00;R4 326,00;R4 200,00;https://www.google.com/search?tbm=isch&q=Johnnie+Walker+Blue+Label+Elusive+Umami+bottle+pack+product+image;https://www.google.com/search?q=Johnnie+Walker+Blue+Label+Elusive+Umami+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Johnnie Walker Blue Label Elusive Umami bottle pack product image
Chivas Regal 12 Year Old;Whisky - Blended Scotch;750ml;Scotland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Chivas+Regal+12+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Chivas+Regal+12+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Chivas Regal 12 Year Old bottle pack product image
Chivas Regal Extra 13 Year Old;Whisky - Blended Scotch;750ml;Scotland;;R637,00;TOPS;R650,00;R663,00;R637,00;R682,50;R643,50;https://www.google.com/search?tbm=isch&q=Chivas+Regal+Extra+13+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Chivas+Regal+Extra+13+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Chivas Regal Extra 13 Year Old bottle pack product image
Chivas Regal 18 Year Old;Whisky - Blended Scotch;750ml;Scotland;;R2 134,00;TOPS;R2 244,00;R2 222,00;R2 134,00;R2 266,00;R2 200,00;https://www.google.com/search?tbm=isch&q=Chivas+Regal+18+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Chivas+Regal+18+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Chivas Regal 18 Year Old bottle pack product image
